MSA_ID,MEASURE_DATE,SURVEY_DATE,PROP_ID,PROP_NAME,PROPERTY_STATUS,YEAR_BUILT,PROPERTY_TOTAL_UNITS,PROPERTY_GRADE_WITHIN_SUBMARKET,PROPERTY_GRADE_WITHIN_MARKET,SUBMARKET_GRADE_WITHIN_MARKET,SUBMARKET,MSA_NAME,ADDRESS,CITY,STATE_ID,ZIP,WEBSITE_ADDRESS,LATITUDE,LONGITUDE,CENSUS_TRACT,CENSUS_BLOCK_GROUP,COUNTY_NAME,FIPS_CODE
40900,5/10/17,5/24/17,73559,abby creek apartment homes,stabilized,1974,112,b,b-,b-,east marconi ave,"sacramento--roseville--arden-arcade, ca",5820 fair oaks blvd,carmichael,ca,95608,https://www.aspensquare.com/california/carmichael/apartments/abby-creek-apartment-homes,38.607197,-121.32851,7802,3,sacramento county,6067
23104,5/10/17,5/4/17,5609,arbrook park,stabilized,1998,444,a-,a-,b+,southeast,"fort worth-arlington, tx",1401 nandina dr,arlington,tx,76014,http://www.arbrookparkapartments.com/,32.682819,-97.088364,111523,1,tarrant county,48439
40140,5/10/17,,69425,park heights,would not disclose,1985,192,b,,b-,san bernardino,,2011 arden ave,highland,ca,92346,www.rentparkheights.com,34.133816,-117.23424,7407,2,san bernardino county,6071
40140,5/10/17,5/18/17,80607,atlantic,stabilized,1979,49,,b-,b-,san bernardino,"riverside-san bernardino-ontario, ca",3795 atlantic ave,highland,ca,92346,no website,34.131771,-117.2052,7410,2,san bernardino county,6071
41884,5/10/17,,66820,lakeview garden,would not disclose,,,,,b,central san mateo,"san francisco-redwood city-south san francisco, ca",844 n humboldt st,,ca,94401,http://lakeviewgardenapts.com,,,606000,1,san mateo county,6081
12420,5/10/17,,85776,link,would not disclose,1999,120,b,b,b,southeast,"austin-round rock, tx",2409 town lake cir,austin,tx,78741,http://www.linkapartmentsaustin.com/index.aspx,30.238165,-97.723053,2304,3,travis county,48453
12420,5/10/17,5/5/17,5463,highlands hill country,stabilized,1999,444,b,b,b,far south,"austin-round rock, tx",3014 w william cannon dr,austin,tx,78745,http://www.berkshirecommunities.com/apartments/tx/austin/highlands-hill-country/,30.209864,-97.821312,1750,3,travis county,48453
45300,5/10/17,5/24/17,11570,,stabilized,1989,141,b,b-,b-,pinellas beaches,"tampa-st. petersburg-clearwater, fl",6401 31st st s,saint petersburg,fl,33712,,27.710743,-82.677299,20206,1,pinellas county,12103
19124,5/10/17,5/4/17,65599,crest manor i,stabilized,2010,312,b,b,b+,lewisville,"dallas-plano-irving, tx",940 w round grove rd,lewisville,tx,75067,http://www.crestmanor.com/index.shtml,33.004478,-97.012421,21728,1,denton county,48121
41660,5/10/17,5/17/17,64463,sunset,stabilized,1981,256,b,b,,,"san angelo, tx",1701 sunset dr,san angelo,tx,76904,http://www.sunsetapts.net,31.414076,-100.46139,1400,5,tom green county,48451
23104,5/10/17,,81666,harris garden apartments,would not disclose,1965,113,b,b-,b,southwest,"fort worth-arlington, tx",550 8th ave,fort worth,tx,76104,http://www.harrisgarden.com/,32.739109,-97.344368,123400,2,tarrant county,48439
41740,5/10/17,,85974,cedar shores,would not disclose,1974,120,b,b+,b+,mission bay/pacific beach,"san diego-carlsbad, ca",2151 oliver ave,san diego,ca,92109,http://www.cedarshoresapts.com/,32.796921,-117.2289,7800,3,san diego county,6073
27260,5/10/17,5/23/17,41887,5 thousand town,stabilized,2013,131,a++,a++,b+,east jacksonville,"jacksonville, fl",5000 big island dr,jacksonville,fl,32246,http://5thousandtown.com/,30.252304,-81.527519,14401,1,duval county,12031
19124,5/10/17,5/15/17,54622,axis 3700,stabilized,2016,300,b,b+,b+,richardson,"dallas-plano-irving, tx",3700 mapleshade ln,plano,tx,75075,http://www.axis3700.com/,33.002457,-96.763168,31804,3,collin county,48085
19124,5/10/17,5/5/17,5318,montfort place,stabilized,1995,350,b,b,b,far north,"dallas-plano-irving, tx",5445 preston oaks rd,dallas,tx,75254,http://montfortplaceapartments.com/floor.asp,32.944,-96.816353,13624,3,dallas county,48113
31084,5/10/17,5/11/17,68444,el rancho,stabilized,1963,58,b-,c,b-,east la/alhambra/montebello/pico rivera,"los angeles-long beach-glendale, ca",1201 w mission rd,alhambra,ca,,,34.084564,-118.1361,480901,2,los angeles county,6037
12420,5/10/17,5/31/17,42292,the m at lakeline,stabilized,2015,374,a-,b+,b,hwy 183/cedar park/leander,"austin-round rock, tx",10500 lakeline mall dr,austin,tx,78717,http://www.thematlakeline.com/,30.477409,-97.791283,20311,1,williamson county,48491
26420,5/10/17,5/9/17,53087,the marq on voss,stabilized,2008,309,b+,a-,b+,briar grove/westchase,"houston-the woodlands-sugar land, tx",2525 s voss rd,houston,tx,77057,http://www.marqonvoss.com/,29.73978,-95.500076,431301,1,harris county,48201
